rank,team_id,name,points_per_game,4s,-4s,0s,tossups_heard,bonuses_heard,bonus_points,points_per_bonus
1,8,Richard Montgomery,48.4,18,0,2,20,18,170,9.444444444444445
2,26,South Jersey,46.8,17,1,2,20,17,170,10.0
3,15,Montgomery Blair A,45.2,19,0,1,20,19,150,7.894736842105263
4,5,Kiruna Scholars,28.4,12,4,4,20,12,110,9.166666666666666
5,4,Centennial A,28.0,12,2,5,19,12,100,8.333333333333334
6,27,WWPN A,26.8,12,1,6,19,12,90,7.5
7,16,Shallow Walk team A,25.6,14,2,4,20,14,80,5.714285714285714
8,17,North Allegheny,24.4,12,4,4,20,12,90,7.5
9,13,Gargy Bomy,23.6,11,4,4,19,11,90,8.181818181818182
10,18,Montgomery Blair B,21.6,10,3,7,20,10,80,8.0
11,11,Eagles B,18.8,11,0,9,20,11,50,4.545454545454546
12,9,Eagles A,17.6,10,3,6,19,10,60,6.0
13,12,Westtown A,16.8,7,1,12,20,7,60,8.571428571428571
14,29,WCHS A,12.0,8,3,9,20,8,40,5.0
15,7,Centreville HS Team 1,10.8,7,1,10,18,7,30,4.285714285714286
16,21,poolesville village idiots,9.6,8,1,11,20,8,20,2.5
17,3,Eagles C,8.8,6,0,13,19,6,20,3.3333333333333335
18,20,The Wilberforce School,7.2,5,1,14,20,5,20,4.0
19,2,Basis,6.8,6,0,14,20,6,10,1.6666666666666667
20,28,Thomas S Wootton High School team A,6.4,3,0,16,19,3,20,6.666666666666667
21,6,Centennial B,4.4,3,0,17,20,3,10,3.3333333333333335
22,1,Pilgrimage Homeschool,4.4,4,1,15,20,4,10,2.5
23,30,Thomas S Wootton High School team C,4.4,3,0,17,20,3,10,3.3333333333333335
24,23,Shallow Stroll Team B,3.6,4,2,13,19,4,10,2.5
25,24,Thomas S Wootton High School team B,2.4,3,0,17,20,3,0,0.0
26,10,WCHS C,2.4,3,0,17,20,3,0,0.0
27,25,WWPN B,2.4,4,1,15,20,4,0,0.0
28,14,Westtown B,1.6,2,0,17,19,2,0,0.0
29,19,Poolesville 2,0.0,1,1,18,20,1,0,0.0
30,22,WCHS B,0.0,1,1,18,20,1,0,0.0
